"sample_id","primary","yfp_bulk","total_read_count","moffitt_tumor_type","bailey_type","moffitt_stromal_type"
"PD2699_C4_1_BULK","PD2699","BULK",35516579,"Classical","Pancreatic_Progenitor","Stromal 1"
"PD2699_C4_1_YFP","PD2699","YFP",33149805,"Classical","Pancreatic_Progenitor","NA"
"PD6422_C5_YFP","PD6422","YFP",22893685,"Basal_like","Pancreatic_Progenitor","NA"
"PD6419_C1_BULK","PD6419","BULK",33161072,"Classical","Squamous","Stromal 2"
"PD6419_C1_YFP","PD6419","YFP",42471579,"Classical","Pancreatic_Progenitor","NA"
"PD6422_C5_BULK","PD6422","BULK",51179727,"Basal_like","Squamous","Stromal 2"
"PD6499_C4_BULK","PD6499","BULK",26117304,"Classical","Pancreatic_Progenitor","Stromal 1"
"PD6499_C4_YFP","PD6499","YFP",34429985,"Classical","Pancreatic_Progenitor","NA"
"PD6620_C1_BULK","PD6620","BULK",33765074,"Classical","Pancreatic_Progenitor","Stromal 1"
"PD6620_C1_YFP","PD6620","YFP",43874093,"Classical","Pancreatic_Progenitor","NA"
"PD2699_C4_2_BULK","PD2699","BULK",24223035,"Classical","Pancreatic_Progenitor","Stromal 1"
"PD2699_C4_2_YFP","PD2699","YFP",7195753,"Classical","Pancreatic_Progenitor","NA"
"PD6419_C5_YFP","PD6419","YFP",18052803,"Classical","Pancreatic_Progenitor","NA"
"PD6421_C2_BULK","PD6421","BULK",16453078,"Classical","Squamous","Stromal 2"
"PD6553_C3_BULK","PD6553","BULK",19072504,"Classical","Pancreatic_Progenitor","Stromal 1"
"PD6556_C5_YFP","PD6556","YFP",18663395,"Classical","Pancreatic_Progenitor","NA"
"PD6883_C1_YFP","PD6883","YFP",35415143,"Classical","Pancreatic_Progenitor","NA"
